filepath,cluster_label
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_80.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_81.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_82.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_83.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_84.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_85.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_86.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_87.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_88.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_89.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_90.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_91.npz,1
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_92.npz,27
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_93.npz,27
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_94.npz,27
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_95.npz,31
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_96.npz,31
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_97.npz,31
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_98.npz,25
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_99.npz,25
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_100.npz,25
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_101.npz,25
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_102.npz,25
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_103.npz,2
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_104.npz,2
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_105.npz,97
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_106.npz,97
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_108.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_109.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_110.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_111.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_112.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_113.npz,76
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_114.npz,90
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_115.npz,90
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_116.npz,90
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_117.npz,90
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_118.npz,39
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_119.npz,39
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_120.npz,82
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_121.npz,82
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_122.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_123.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_124.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_125.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_126.npz,83
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_127.npz,83
/kaggle/input/brats20-data/BraTS20/data/volume_41_slice_128.npz,83
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_80.npz,41
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_81.npz,41
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_82.npz,41
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_83.npz,80
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_84.npz,80
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_85.npz,30
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_86.npz,30
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_87.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_88.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_89.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_90.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_91.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_92.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_93.npz,19
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_94.npz,94
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_95.npz,94
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_96.npz,94
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_97.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_98.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_99.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_100.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_101.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_102.npz,16
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_103.npz,70
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_104.npz,70
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_105.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_106.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_107.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_108.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_109.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_110.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_111.npz,52
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_112.npz,52
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_113.npz,52
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_115.npz,54
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_116.npz,54
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_117.npz,54
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_118.npz,54
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_119.npz,69
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_120.npz,69
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_121.npz,61
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_122.npz,78
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_123.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_124.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_125.npz,89
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_126.npz,83
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_127.npz,11
/kaggle/input/brats20-data/BraTS20/data/volume_185_slice_128.npz,43
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_80.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_81.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_82.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_83.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_84.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_85.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_86.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_87.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_88.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_89.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_90.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_91.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_92.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_93.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_94.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_95.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_96.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_97.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_98.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_99.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_100.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_101.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_102.npz,7
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_103.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_104.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_105.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_106.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_107.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_108.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_109.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_110.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_111.npz,6
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_112.npz,17
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_113.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_114.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_115.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_116.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_117.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_118.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_119.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_120.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_121.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_122.npz,51
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_123.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_124.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_125.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_126.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_127.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_135_slice_128.npz,44
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_80.npz,41
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_81.npz,41
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_82.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_83.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_84.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_85.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_86.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_87.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_88.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_89.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_90.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_91.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_92.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_93.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_94.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_95.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_96.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_97.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_98.npz,50
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_99.npz,4
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_100.npz,4
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_101.npz,4
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_102.npz,4
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_103.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_104.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_105.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_106.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_107.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_108.npz,71
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_109.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_110.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_111.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_112.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_113.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_114.npz,36
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_115.npz,10
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_116.npz,10
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_117.npz,10
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_118.npz,10
/kaggle/input/brats20-data/BraTS20/data/volume_306_slice_119.npz,44
